Respectivamente
entradas: I1 I2 I3 I4 I5 
saídas: O1 O2 
0 0 0 0 0 || 1 1 
0 0 0 0 1 || 1 1 
0 0 0 1 0 || 1 1 
0 0 0 1 1 || 1 1 
0 0 1 0 0 || 1 1 
0 0 1 0 1 || 1 1 
0 0 1 1 0 || 1 0 
0 0 1 1 1 || 0 1 
0 1 0 0 0 || 1 0 
0 1 0 0 1 || 0 1 
0 1 0 1 0 || 1 0 
0 1 0 1 1 || 0 1 
0 1 1 0 0 || 1 0 
0 1 1 0 1 || 0 1 
0 1 1 1 0 || 1 0 
0 1 1 1 1 || 0 1 
1 0 0 0 0 || 1 0 
1 0 0 0 1 || 0 1 
1 0 0 1 0 || 1 0 
1 0 0 1 1 || 0 1 
1 0 1 0 0 || 1 0 
1 0 1 0 1 || 0 1 
1 0 1 1 0 || 1 0 
1 0 1 1 1 || 0 0 
1 1 0 0 0 || 0 1 
1 1 0 0 1 || 1 0 
1 1 0 1 0 || 0 1 
1 1 0 1 1 || 1 0 
1 1 1 0 0 || 0 1 
1 1 1 0 1 || 1 0 
1 1 1 1 0 || 0 1 
1 1 1 1 1 || 1 1 
